,window_size,C,hist,epsilon,accuracy,auc_score,symbol
14,360,1.5,30,0.1,0.7876895628902766,0.7824783176289631,CTAS
15,360,3.0,5,0.1,0.8071553228621291,0.8052215228625309,BBT
15,360,3.0,5,0.1,0.7888307155322862,0.7857688074969422,MAC
16,360,3.0,10,0.1,0.7975460122699386,0.7973051463131304,RHT
13,360,1.5,10,0.1,0.7432077125328659,0.7426627641435685,DRI
17,360,3.0,30,0.1,0.7591436217662801,0.7568527951429086,ORLY
14,360,1.5,30,0.1,0.8206958073148974,0.8206325560075631,SLB
15,360,3.0,5,0.1,0.787085514834206,0.7865027680763776,CDNS
17,360,3.0,30,0.1,0.784121320249777,0.7825328545183365,ED
14,360,1.5,30,0.1,0.7627118644067796,0.7584645985050207,HD
15,360,3.0,5,0.1,0.7914485165794066,0.7914977537500952,NFLX
14,360,1.5,30,0.1,0.7520071364852808,0.7518473181212505,GOOGL
17,360,3.0,30,0.1,0.7243532560214094,0.7246661229483129,IRM
17,360,3.0,30,0.1,0.7930419268510259,0.7885554140618971,DFS
9,180,3.0,5,0.1,0.7246753246753247,0.7219471947194721,NCLH
16,360,3.0,10,0.1,0.8282208588957055,0.8254899352938992,RF
13,360,1.5,10,0.1,0.7151621384750219,0.7102499474900229,WMT
16,360,3.0,10,0.1,0.7589833479404031,0.7550353166157738,MAT
13,360,1.5,10,0.1,0.7230499561787905,0.7233590911889661,MRK
15,360,3.0,5,0.1,0.7887323943661971,0.775420077552779,APTV
17,360,3.0,30,0.1,0.7582515611061552,0.7547131712382772,BF-B
16,360,3.0,10,0.1,0.7992988606485539,0.7991468363770521,MAS
15,360,3.0,5,0.1,0.7923211169284468,0.7897540983606557,AEE
9,180,3.0,5,0.1,0.7571644042232277,0.7535188216039279,CAH
16,360,3.0,10,0.1,0.8247151621384751,0.8237381849062178,INCY
14,360,1.5,30,0.1,0.7636039250669046,0.7618468045413016,NKE
14,360,1.5,30,0.1,0.7653880463871543,0.7649374378204639,CNP
11,360,3.0,30,0.1,0.7707404103479036,0.7682693538067817,EFX
11,360,3.0,30,0.1,0.7636039250669046,0.7574826124161181,FIS
10,360,3.0,10,0.1,0.7773882559158632,0.7759177761684586,SYK
9,360,3.0,5,0.1,0.7460732984293194,0.7447849447602309,BAX
6,360,1.5,5,0.1,0.824607329842932,0.8245711291973293,UAL
8,360,1.5,30,0.1,0.8242640499553969,0.8228535047295658,EOG
10,360,3.0,10,0.1,0.7940403155127082,0.7914938207587935,MTD
8,360,1.5,30,0.1,0.8153434433541481,0.8140458122540754,WFC
8,360,1.5,30,0.1,0.8153434433541481,0.8142111542854226,PH
6,360,1.5,5,0.1,0.7582897033158813,0.757470633941222,IBM
11,360,3.0,30,0.1,0.8055307760927743,0.8048558567187051,TEL
11,360,3.0,30,0.1,0.7796610169491526,0.7763385975348441,ANTM
6,360,1.5,5,0.1,0.7766143106457243,0.7746336996336998,XLNX
8,360,1.5,30,0.1,0.7252453166815344,0.717672678198994,CHD
11,360,3.0,30,0.1,0.7618198037466548,0.7552920828888242,BDX
8,360,1.5,30,0.1,0.7769848349687779,0.7706529772807609,ECL
7,360,1.5,10,0.1,0.7712532865907099,0.7703656525377838,RL
11,360,3.0,30,0.1,0.7983942908117752,0.7979975654678826,MGM
11,360,3.0,30,0.1,0.768064228367529,0.7636702714490968,PAYX
11,360,3.0,30,0.1,0.7662801070472792,0.7646646614616665,SBUX
11,360,3.0,30,0.1,0.7662801070472792,0.7653874108218732,ROST
11,360,3.0,30,0.1,0.743978590544157,0.7437087577679544,LOW
11,360,3.0,30,0.1,0.7377341659232828,0.7375916893767669,EL
11,360,3.0,30,0.1,0.7609277430865299,0.7561115613182063,ADS
8,360,1.5,30,0.1,0.8108831400535237,0.8094451361619257,GS
11,360,3.0,30,0.1,0.8412132024977699,0.8412975801676885,DHI
11,360,3.0,30,0.1,0.7876895628902766,0.7873186277014255,VMC
11,360,3.0,30,0.1,0.7573595004460303,0.7551353349620676,WMB
8,360,1.5,30,0.1,0.8055307760927743,0.8037990861743937,SIVB
11,360,3.0,30,0.1,0.7662801070472792,0.7646196121033964,ADM
9,360,3.0,5,0.1,0.7897033158813264,0.7862316287420379,ALB
11,360,3.0,30,0.1,0.7395182872435325,0.7332788900029108,ABC
11,360,3.0,30,0.1,0.7430865298840321,0.7412429378531074,CCI
9,360,3.0,5,0.1,0.7844677137870855,0.77881982981872,CSX
8,360,1.5,30,0.1,0.8090990187332738,0.8077180799220273,LNT
11,360,3.0,30,0.1,0.7885816235504014,0.7881447208254465,WHR
